iter	Passed	Remaining
0	0	76
1	1	72
2	2	67
3	2	62
4	3	61
5	3	59
6	4	58
7	5	57
8	5	57
9	6	56
10	7	57
11	7	56
12	8	55
13	10	61
14	11	63
15	12	65
16	13	64
17	13	63
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	49
31	22	48
32	23	47
33	25	48
34	25	47
35	26	47
36	27	46
37	27	45
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	31
55	38	30
56	41	31
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	55	17
76	56	17
77	57	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	68	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	77	0
